FID,Id,GRIDCODE,area,centr_x,centr_y,lake_id,date,loc1,loc2
0,73,1,2073600.000000000000000,448561.171875000000000,6833161.054689999700000,70f51c6c07df1cc0e7178337b31217134ca6ce7e17d098cda7c80246,20130717,64,17
1,588,1,2067300.000000000000000,448578.049630000020000,6833170.422290000100000,dcce2fb6ffeec9123bae47165221b0aa51169ffcebf1632aee447a2b,20130802,64,17
2,97,1,698400.000000000000000,448101.842783999980000,6833208.981959999500000,2ade1b16e797b425084dfad6cdf89dd32d9ee8db32579d7506705047,20140704,64,17
3,234,1,2103300.000000000000000,448651.540435999980000,6833201.489090000300000,ff45e2ac8793ff32f7b8cc2a0f969afc3694a07f590f845a268d08d9,20140821,64,17
4,419,1,2194200.000000000000000,448709.175554000020000,6833184.450369999700000,4553bf89ef7c3e6689f2ef81a9ddc3d1421db0c8bf5660a18d91249d,20150808,64,17
5,278,1,1266300.000000000000000,448998.763326000010000,6833286.375269999700000,4380e7dd00d7e41a3f93980cca722826b3e31118c12487fc8dc4db44,20160709,64,17
6,194,1,1010700.000000000000000,449067.382012000020000,6833218.130010000400000,12dd107ef6f40a7a6eb30109aca175bd32b4fe0b75a2e419bb1c00bf,20170712,64,17
7,284,1,2485800.000000000000000,448832.487328000020000,6833206.335989999600000,25c01d267e4680fcce508fd687d8aab71f0c4b53bbc44e84563f5b7f,20180731,64,17
8,417,1,1647000.000000000000000,448346.622951000000000,6833158.131149999800000,ef5f96b6a26a75639968e957810eb4d9a9c97256e87355427de14be3,19950614,64,17
9,689,1,1835100.000000000000000,448441.147621000010000,6833204.492399999900000,36a6cf55dde5e68f43bbcb0eeb31f5d8ef727b4ca29b242efe532cf5,19960718,64,17
10,786,1,1459800.000000000000000,448672.509247999990000,6833219.278669999900000,79d3748eaeb50d8a5116448cae25fbc027742b0e462994aefd25157c,19970705,64,17
11,409,1,254700.000000000000000,449155.865723999970000,6833618.692579999600000,8d9d98d3351d4a4fe9e26a8fed2fca52c72f3a0d40ef9aa157f29e29,19980606,64,17
12,412,1,717300.000000000000000,448068.594730000010000,6833108.281050000300000,deee9ae10e874f089729cb7e547e1ff4f3e6da81ef2394f29d4f4fc4,19980606,64,17
13,652,1,1895400.000000000000000,448524.102564000000000,6833195.341880000200000,ac270f9ef4a3096d9145e769894370aa8609fef9f0ef7d883be6f0ec,19980622,64,17
